machine_id,mileage,event_type_label,event_type,censor_status,event_cost,gravel_percent,gravel_fraction
1,10000.0,PM,-2,1,100.0,20,0.2
1,20000.0,PM,-2,1,100.0,20,0.2
1,30000.0,PM,-2,1,100.0,20,0.2
1,36200.0,Minor failure,1,1,600.0,20,0.2
1,40000.0,PM,-2,1,100.0,20,0.2
1,50000.0,PM,-2,1,100.0,20,0.2
1,60000.0,PM,-2,1,100.0,20,0.2
1,70000.0,PM,-2,1,100.0,20,0.2
1,80000.0,PM,-2,1,100.0,20,0.2
1,90000.0,PM,-2,1,100.0,20,0.2
1,100000.0,PM,-2,0,100.0,20,0.2
2,10000.0,PM,-2,1,100.0,20,0.2
2,20000.0,PM,-2,1,100.0,20,0.2
2,30000.0,PM,-2,1,100.0,20,0.2
2,40000.0,PM,-2,1,100.0,20,0.2
2,50000.0,PM,-2,1,100.0,20,0.2
2,60000.0,PM,-2,1,100.0,20,0.2
2,70000.0,PM,-2,1,100.0,20,0.2
2,74200.0,Minor failure,1,1,600.0,20,0.2
2,80000.0,PM,-2,1,100.0,20,0.2
2,86000.0,Minor failure,1,1,600.0,20,0.2
2,90000.0,PM,-2,1,100.0,20,0.2
2,100000.0,PM,-2,0,100.0,20,0.2
3,8600.0,Minor failure,1,1,600.0,20,0.2
3,10000.0,PM,-2,1,100.0,20,0.2
3,19700.0,Minor failure,1,1,600.0,20,0.2
3,20000.0,PM,-2,1,100.0,20,0.2
3,30000.0,PM,-2,1,100.0,20,0.2
3,40000.0,PM,-2,1,100.0,20,0.2
3,47500.0,Minor failure,1,1,600.0,20,0.2
3,50000.0,PM,-2,1,100.0,20,0.2
3,60000.0,PM,-2,1,100.0,20,0.2
3,68900.0,Minor failure,1,1,600.0,20,0.2
3,69600.0,Minor failure,1,1,600.0,20,0.2
3,70000.0,PM,-2,1,100.0,20,0.2
3,80000.0,PM,-2,1,100.0,20,0.2
3,90000.0,PM,-2,1,100.0,20,0.2
3,90800.0,Minor failure,1,1,600.0,20,0.2
3,100000.0,PM,-2,0,100.0,20,0.2
4,10000.0,PM,-2,1,100.0,60,0.6
4,20000.0,PM,-2,1,100.0,60,0.6
